Id,Name,Bank Code,Type of Institution,Old Name,Date Reregistered,Street Address,Area,State,Telephone,Fax,website,eMail,Postal Address,Country,Ownership Type,Comments,Date Licensed
1,Access Bank Plc,044,Commercial Bank,Access Bank Plc,1/17/1990,"14/15, Prince Alaba Oniru Road, Victoria Island, Lagos",Victoria Island,LAGOS,"(234) 01 26210404-41,2626273-76,2641571-72,3201889",(234) 01 2621037,www.accessbankplc.com,info@accessbankplc.com,"Plot 1665, Oyin Jolayemi Street",NGN,Domestic,"Access Bank, Capital Bank Int. Marina Bank,","5th Feb, 2001 (previously licensed Dec. 19, 1988)"
2,Citibank Nigeria Limited,023,Commercial Bank,Nigerian International Bank Ltd,10/11/2004,"27 Kofo Abayomi Street, Victoria Island, Lagos.",Victoria Island,LAGOS,234 01 2622000-9,"234 01 2618916,2623334",www.citibank.com,,"P.O.Box 6391, Victoria island",NGN,Foreign,Nigerian International Bank Ltd,"3rd January, 2006"
3,Ecobank Nigeria Plc,050,Commercial Bank,,4/24/1989,"21 Ahmadu Bello Way, Victoria Island, Lagos.",Victoria Island,LAGOS,"234 01 2626638-88, 2626710-17","234 01 2616568, 2620920",www.ecobank.com,ecobank@ecobank.com,"P.O.Box 72688 Victoria island, Lagos",NGN,,Ecobank Ltd,"3rd January, 2006 (previously licensed Dec. 16, 1988)"
4,Fidelity Bank Plc,070,Commercial Bank,First Bank of Nigeria ,,"Samuel Asabia House, 35 Marina Lagos",Marina,LAGOS,,,,,,NGN,,,"3rd January, 2006 (previously licensed July 16, 1999)"
5,First Bank Nigeria Limited,011,Commercial Bank,,,"2 Broad Street, P.O.Box 4238, Lagos.",Broad Street,LAGOS,,,,,,,,,"3rd January, 2006 (previously licensed 15/08/1979)"
6,First City Monument Bank Plc,214,Commercial Bank,First City Monument Bank Plc,11/11/1983,"Primrose Towers, 6-10 Floors 17A Tinubu Square",Tinubu Square,LAGOS,01 2665944 - 53,01 2665126,www.fcmb-ltd.com,caf@firstcitygroup.com,"P. O. Box 9117, Lagos Nigeria",NGN,,"FCMB, Co-operative Dev, NAMBL, Midas","3rd January, 2006 (previously August 11,1983)"
7,Globus Bank Limited,103,Commercial Bank,,1/1/1900,"No 6 Adeyemo Alakija Street, Victoria Island, Lagos",Victoria Island,LAGOS,,,,,,NGN,Domestic,,"5th November, 2021"
8,Guaranty Trust Bank Plc,058,Commercial Bank,,1/17/1990,"635, Akin Adesola Street, Victoria Island, Lagos ",Victoria Island,LAGOS,"234-01-2622650-69,3201100",234-01-2622698-9,www.gtbplc.com,,"Plot 1669, Oyin Jolayemi Street V.I. Lagos",NGN,,Guaranty Trust Bank Plc,"3rd January, 2006 (previously licensed August 1, 1990)"
9,Heritage Banking Company Ltd.,030,Commercial Bank,,1/1/1900,"Plot 292, Ajose Adeogun Street, Victoria Island, Lagos",,LAGOS,,,,,,NGN,Domestic,,3rd April 2013
10,Keystone Bank Limited,082,Commercial Bank,,,"Keystone House, 1 Keystone Crescent, Victoria Island, Lagos.",,,,,,,,,,,"5th August, 2011"
